typepsc;stypepsc;nnn;lib_stype;surf;symb_surf;lin;symb_lin;pt;symb_pct;etiquette;classement
07;05;001;Éléments de paysage correspondant à un espace boisé, (sites et secteurs) à préserver pour des motifs d'ordre écologique;S;PSC-S_07-05_001;L;PSC-L_07-05_001;P;PSC-P_07-05_001;07-05_001;symbole
08;00;001;Terrain cultivé ou non bâti à protéger en zone urbaine;S;PSC-S_08-00_001;;;;;08-00_001;symbole
13;00;001;Zone à aménager en vue de la pratique du ski;S;PSC-S_13-00_001;;;;;13-00_001;symbole
14;00;001;Secteur de plan de masse;S;PSC-S_14-00_001;;;;;14-00_001;symbole
15;00;001;Règles d’implantation des constructions;S;PSC-S_15-00_001;L;PSC-L_15-00_001;P;PSC-P_15-00_001;15-00 à 98_001;symbole
15;01;001;Implantation des constructions par rapport aux voies et aux emprises publiques;S;PSC-S_15-01_001;L;PSC-L_15-01_001;P;PSC-P_15-01_001;15-01_001;sous-code
15;02;001;Implantation des constructions par rapport aux limites séparatives latérales;S;PSC-S_15-02_001;L;PSC-L_15-02_001;P;PSC-P_15-02_001;15-02_001;sous-code
15;03;001;Implantation des constructions par rapport aux limites des fonds de parcelles;S;PSC-S_15-03_001;L;PSC-L_15-03_001;P;PSC-P_15-03_001;15-03_001;sous-code
15;98;001;Implantation alternative des constructions;S;PSC-S_15-98_001;L;PSC-L_15-98_001;P;PSC-P_15-98_001;15-98_001;sous-code
16;00;001;Constructions et installations nécessaires à des équipements collectifs en zone A ou N;S;PSC-S_16-00_001;;;P;PSC-P_16-00_001;16-00 à 02 & 04 à 05_001;symbole
16;01;001;Bâtiment susceptible de changer de destination en zone A ou N;S;PSC-S_16-01_001;;;P;PSC-P_16-01_001;16-01_001;sous-code
16;02;001;Bâtiments d’habitation existants pouvant faire l’objet d’extensions ou d’annexes en zone A ou N;S;PSC-S_16-02_001;;;P;PSC-P_16-02_001;16-02_001;sous-code
16;03;001;Secteur de taille et de capacité d’accueil limitées (STECAL) en zone A ou N;S;PSC-S_16-03_001;;;P;PSC-P_16-03_001;16-03_001;symbole
16;04;001;Constructions et installations nécessaires à l’activité agricole en zone A ou N;S;PSC-S_16-04_001;;;P;PSC-P_16-04_001;16-04_001;sous-code
16;05;001;Diversification de l'activité agricole : transformation, conditionnement et ventes de produits agricoles (activités liées au tourisme exclues);S;PSC-S_16-05_001;;;P;PSC-P_16-05_001;16-05_001;sous-code
17;00;001;Secteur à programme de logements mixité sociale en zone U et AU;S;PSC-S_17-00_001;;;;;17-00_001;symbole
18;00;001;Périmètre comportant des orientations d’aménagement et de programmation (OAP);S;PSC-S_18-00_001;;;;;18-00 à 16_001;symbole
18;01;001;OAP de projet (sans règlement);S;PSC-S_18-01_001;;;;;18-01_001;sous-code
18;02;001;OAP entrées de ville;S;PSC-S_18-02_001;;;;;18-02_001;sous-code
