typesup;lib_sup;symb_sup;d_symb_sup;etiquette;classement;application
I9;I9 - Servitudes relatives aux canalisations de transport et de distribution de chaleur et de froid;I9|gen|ass;style de remplissage : pas de remplissage\nStyle de bordure : ligne continue\nCouleur : #fa00fa\nLargeur de bordure : 1,5 pixel;I9|gen|ass;symbole;
I10;I10 - Servitudes relatives à la sécurité et la prévention des risques miniers;I10|gen|ass;Contour continu, taille 1,5\nRemplissage : diagonale 225°\nEpaisseur de ligne : 0,8\nCouleur : #fa00fa;I10|gen|ass;symbole;
INT1;INT1 - Servitudes instituées au voisinage des cimetières;INT1|gen|ass;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1\nIntervalle : 8\nCouleur : #000000\nBordure : ligne continue\nEpaisseur : 2  Couleur : #000000\nPas de couleur fond;INT1|gen|ass;symbole;
JS1;JS1 - Servitudes de protection des équipements sportifs;JS1|gen|ass;Pas de remplissage.\nContour : Ligne de symboles\nSymbole simple : triangle\nTaille : 7\nIntervalle : 11\nCouleur : #000000;JS1|gen|ass;symbole;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprnp|ass;Symbole de remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1  Intervalle : 8\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM1|gen_x|ass;symbole;Symboles concernés :\n\nPM1|gen_pprnp|ass\nPM1|gen_pprn_i|ass\nPM1|gen_pprn_l|ass\nPM1|gen_pprn_mvt|ass\nPM1|gen_pprn_multi|ass\nPM1|gen_pprn_s|ass\nPM1|gen_pprn_av|ass\nPM1|gen_pprn_ev|ass\nPM1|gen_pprn_if|ass\nPM1|gen_pprn_cy|ass\nPM1|gen_pprn_rad|ass\nPM1|gen_pprm|ass
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_i|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_l|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_mvt|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_multi|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_s|ass;;;sous-code;
