typesup;lib_sup;symb_sup;d_symb_sup;etiquette;classement;application
AR1;AR1 - Servitudes de champs de vue concernant les postes électro sémaphoriques de la marine nationale et les postes militaires de défense des côtes et de sécurité de la navigation;AR1|gen|ass_sol§xx;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1  Intervalle : 8\nCouleur : #800080\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR1|gen|ass_x§xx;symbole;Symboles concernés :\n\nAR1|gen|ass_sol§xx\nAR1|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
AR1;AR1 - Servitudes de champs de vue concernant les postes électro sémaphoriques de la marine nationale et les postes militaires de défense des côtes et de sécurité de la navigation;AR1|gen|ass_ngf§xx;;;sous-code;
AR2;AR2 - Servitudes de champs de vue concernant les postes électro sémaphoriques de la marine nationale et les postes militaires de défense des côtes et de sécurité de la navigation;AR2|gen|ass_sol§xx;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1  Intervalle : 8\nCouleur : #800080\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR2|gen|ass_x§xx;symbole;Symboles concernés :\n\nAR2|gen|ass_sol§xx\nAR2|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
AR2;AR2 - Servitudes de champs de vue concernant les postes électro sémaphoriques de la marine nationale et les postes militaires de défense des côtes et de sécurité de la navigation;AR2|gen|ass_ngf§xx;;;sous-code;
AR3;AR3 - Servitudes autour des magasins et des établissements servant à la conservation ou a la fabrication des poudres munitions artifices ou explosifs;AR3|gen|ass_isolement;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1 Intervalle : 12\nCouleur : #800080\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR3|gen|ass_isolement;symbole;
AR3;AR3 - Servitudes autour des magasins et des établissements servant à la conservation ou a la fabrication des poudres munitions artifices ou explosifs;AR3|gen|ass_prohibition_1;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1  Intervalle : 4\nCouleur : #800080\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR3|gen|ass_prohibition_x;symbole;Symboles concernés :\n\nAR3|gen|ass_prohibition_1\nAR3|gen|ass_prohibition_2
AR3;AR3 - Servitudes autour des magasins et des établissements servant à la conservation ou a la fabrication des poudres munitions artifices ou explosifs;AR3|gen|ass_prohibition_2;;;sous-code;
AR4;AR4 - Servitudes concernant l'établissement de terrains d'atterrissage destinés en partie ou en totalité à l'armée de l'air;AR4|gen|ass;Bordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR4|gen|ass;symbole;
AR5;AR5 - Servitudes autour des installations de défense autres que celles concernées par les SUP AR1 à AR4 et AR6;AR5|gen|ass;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1  Intervalle : 8\nCouleur : #800080\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR5|gen|ass;symbole;
AR6;AR6 - Servitudes aux abords des champs de tirs;AR6|gen|ass;Remplissage simple : motif de lignes\nAngle : 135°  Epaisseur : 1 Intervalle : 8\nCouleur : #800080\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #800080\nPas de couleur fond;AR6|gen|ass;symbole;
AS1;AS1 - Servitudes résultant de l’instauration de périmètres de protection autour des captages d’eaux destinées à l’alimentation en eau potable et des sources minérales naturelles;AS1|gen_eauminerale|ass;Motif linéaire de remplissage : \nAngle : 45°\nEpaisseur : 0,7\nCouleur : #00aaff\nDistance : 12 pixels \nContour simple: \nCouleur fond : aucune\nContour polygone : Taille : 0,5  Couleur : #00aaff;AS1|gen_eauminerale|ass;symbole;
AS1;AS1 - Servitudes résultant de l’instauration de périmètres de protection autour des captages d’eaux destinées à l’alimentation en eau potable et des sources minérales naturelles;AS1|gen_eaupotable|ass_eloigne;Motif linéaire de remplissage : \nAngle : 45°\nEpaisseur : 0,4\nCouleur : #00aaff\nDistance : 12 pixels \nContour simple: \nCouleur fond : aucune\nContour polygone : Taille : 0,5  Couleur : #00aaff;AS1|gen_eaupotable|ass_x;symbole;Symboles concernés :\n\nAS1|gen_eaupotable|ass_eloigne\nAS1|gen_eaupotable|ass_immediat
AS1;AS1 - Servitudes résultant de l’instauration de périmètres de protection autour des captages d’eaux destinées à l’alimentation en eau potable et des sources minérales naturelles;AS1|gen_eaupotable|ass_immediat;;;sous-code;
AS1;AS1 - Servitudes résultant de l’instauration de périmètres de protection autour des captages d’eaux destinées à l’alimentation en eau potable et des sources minérales naturelles;AS1|gen_eaupotable|ass_rapproche;Motif linéaire de remplissage : \nAngle : 45°\nEpaisseur : 0,7\nCouleur : #00aaff\nDistance : 6 pixels \nContour simple: \nCouleur fond : aucune\nContour polygone : Taille : 0,5  Couleur : #00aaff;AS1|gen_eaupotable|ass_rapproche;symbole;
AS2;AS2 - Etablissements de conchyliculture et d’aquaculture et gisements coquilliers;AS2|gen|ass;Remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1 Intervalle : 8\nCouleur : #00c0c0\nBordure : ligne continue\nEpaisseur : 2 Couleur :#00c0c0\nPas de couleur fond;AS2|gen|ass;symbole;
EL2bis;EL2bis - Servitudes concernant la Loire et ses affluents;EL2bis|gen|ass;Symbole de remplissage simple : \nCouleur fond : aucune\nContour : ligne continue\nCouleur contour : #000000;EL2bis|gen|ass;symbole;
EL3;EL3 - Servitudes de halage et de marchepied;EL3|gen|ass_halage;Symbole de remplissage simple : \nCouleur fond : aucune\nContour : ligne tirété point-tiret\nCouleur contour : #000000\nLargeur contour : 2;EL3|gen|ass_halage;symbole;
EL3;EL3 - Servitudes de halage et de marchepied;EL3|gen|ass_marchepied;Symbole de remplissage simple :\nCouleur fond : aucune\nContour : ligne en tiret\nCouleur contour : #000000\nLargeur contour : 2;EL3|gen|ass_marchepied;symbole;
EL4;EL4 - Servitudes relatives au développement et à la protection des montagnes;EL4|gen|ass_sol§xx;Contour : Bordure : ligne continue\nEpaisseur : 1 Couleur : #000000\nRemplissage : motif de points\nsymbole simple rond pas de remplissage\nTaille : 7 couleur : #000000\nDistance horizontale : 30\nDistance verticale : 30;EL4|gen|ass_x§xx;symbole;Symboles concernés :\n\nEL4|gen|ass_sol§xx\nEL4|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
EL4;EL4 - Servitudes relatives au développement et à la protection des montagnes;EL4|gen|ass_ngf§xx;;;sous-code;
EL5;EL5 - Servitudes de visibilité sur les voies publiques;EL5|gen|ass;Remplissage simple : pas de remplissage\nBordure : ligne en tiret\nEpaisseur : 2\nCouleur : #000000;EL5|gen|ass;symbole;
EL6;EL6 - Servitudes grevant les terrains nécessaires aux routes nationales et aux autoroutes;EL6|gen|ass;Remplissage simple : pas de remplissage\nBordure : ligne continue\nEpaisseur : 1\nCouleur : #000000;EL6|gen|ass;symbole;
EL7;EL7 - Servitudes d'alignement des voies publiques;EL7|gen|ass;Remplissage simple : motif de lignes\nAngle : 315°\nEpaisseur : 1\nIntervalle : 3\nCouleur : #000000\nBordure : ligne continue\nEpaisseur : 1  Couleur : #000000;EL7|gen|ass;symbole;
EL8;EL8 - Servitudes de champs de vue et de visibilité pour les établissements de signalisation maritime (ESM);EL8|gen|ass_sol§xx;Symbole de remplissage simple :\nMotif de ligne\nAngle : 45 distance 20\nEpaisseur : 1\nCouleur fond : aucune\nContour : ligne simple\nLargeur contour : 1,5\nCouleur : #000000;EL8|gen|ass_x§xx;symbole;Symboles concernés :\n\nEL8|gen|ass_sol§xx\nEL8|gen|ass_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
EL8;EL8 - Servitudes de champs de vue et de visibilité pour les établissements de signalisation maritime (ESM);EL8|gen|ass_ngf§xx;;;sous-code;
EL9;EL9 - Servitudes de passage des piétons sur le littoral;EL9|gen_limdompubmaritim|ass;Couleur fond : aucune\nContour : jaune de largeur 1 sur noir de largeur 2\nCouleur contour : #000000 et #FFFF00\nLargeur contour : noir 2, jaune 1;EL9|gen_x|ass;symbole;Symboles concernés :\n\nEL9|gen_limdompubmaritim|ass\nEL9|gen_voiechemin|ass
EL9;EL9 - Servitudes de passage des piétons sur le littoral;EL9|gen_voiechemin|ass;;;sous-code;
EL10;EL10 - Cœur de parc national;EL10|gen|ass;Remplissage : symbole de police : Wingdings 0xa7\nCouleur : #000000\nCouleur fond : aucune\nContour polygone : ligne simple\nTaille : 1,2\nCouleur contour : #000000;EL10|gen|ass;symbole;
EL11;EL11 - Servitudes relatives aux interdictions d'accès grevant les propriétés limitrophes des autoroutes des routes express et des déviations d'agglomérations;EL11|gen|ass;Remplissage simple : motif de lignes\nAngle : 90°\nEpaisseur : 1\nIntervalle : 5\nCouleur : #000000\nBordure : ligne continue\nEpaisseur : 3  Couleur : #000000;EL11|gen|ass;symbole;
I1;I1 - Servitudes relatives à la maîtrise de l’urbanisation autour des canalisations de transport de gaz naturel ou assimilé d’hydrocarbures et de produits chimiques et de certaines canalisations de distribution de gaz;I1|gen_canalgaz|ass;Pas de remplissage\nContour : ligne en tiret\nTaille du contour : 1,5\nCouleur : #fa00fa;I1|gen_x|ass;symbole;Symboles concernés :\n\nI1|gen_canalgaz|ass\nI1|gen_canalhydrocarbure|ass\nI1|gen_canalprodchimique|ass\nI1|gen_installannexegaz|ass\nI1|gen_installannexehydrocarbure|ass\nI1|gen_installannexeprodchimique|ass
I1;I1 - Servitudes relatives à la maîtrise de l’urbanisation autour des canalisations de transport de gaz naturel ou assimilé d’hydrocarbures et de produits chimiques et de certaines canalisations de distribution de gaz;I1|gen_canalhydrocarbure|ass;;;sous-code;
I1;I1 - Servitudes relatives à la maîtrise de l’urbanisation autour des canalisations de transport de gaz naturel ou assimilé d’hydrocarbures et de produits chimiques et de certaines canalisations de distribution de gaz;I1|gen_canalprodchimique|ass;;;sous-code;
I1;I1 - Servitudes relatives à la maîtrise de l’urbanisation autour des canalisations de transport de gaz naturel ou assimilé d’hydrocarbures et de produits chimiques et de certaines canalisations de distribution de gaz;I1|gen_installannexegaz|ass;;;sous-code;
I1;I1 - Servitudes relatives à la maîtrise de l’urbanisation autour des canalisations de transport de gaz naturel ou assimilé d’hydrocarbures et de produits chimiques et de certaines canalisations de distribution de gaz;I1|gen_installannexehydrocarbure|ass;;;sous-code;
I1;I1 - Servitudes relatives à la maîtrise de l’urbanisation autour des canalisations de transport de gaz naturel ou assimilé d’hydrocarbures et de produits chimiques et de certaines canalisations de distribution de gaz;I1|gen_installannexeprodchimique|ass;;;sous-code;
I2;I2 - Servitudes relatives aux installations hydrauliques concédées;I2|gen_pyloneturbine|ass;Contour continu, taille 1,5\nRemplissage : diagonale 45°\nEpaisseur de ligne : 0,8\nCouleur : #fa00fa;I2|gen_x|ass;symbole;Symboles concernés :\n\nI2|gen_pyloneturbine|ass\nI2|gen_conduiteforcee|ass\nI2|gen_postelec|ass
I2;I2 - Servitudes relatives aux installations hydrauliques concédées;I2|gen_conduiteforcee|ass;;;sous-code;
I2;I2 - Servitudes relatives aux installations hydrauliques concédées;I2|gen_postelec|ass;;;sous-code;
