typezone;lib_type;symb_sup2500;d_symb_sup2500;symb_inf2500;d_symb_inf2500
U;Zone urbaine;ZONE_U_001_ge;***Ligne simple***\n • couleur : RVB 176,0,6 (#b00006)\n • décalage : 3 pt\n • largeur de trait : 7 pt\n • style de jointure : rond\n • style de trait : ligne continue\n\n***Ligne simple***\n • couleur : RVB 57,57,57 (#393939)\n • largeur de trait : 2.5 pt\n • style de jointure : angle droit\n • style de trait : ligne continue;ZONE_U_001_pe;***Remplissage simple***\n • couleur de remplissage : RVB 230,0,0 (#e60000), transparence 40%\n • couleur de trait : RVB 57,57,57 (#393939)\n • largeur de trait : 0.8 pt\n • style de trait : ligne continue
AUc;Zone à  urbaniser;ZONE_AUc_001_ge;***Ligne simple***\n • couleur : RVB 212,0,6 (#d40006)\n • décalage : 3 pt\n • largeur de trait : 7 pt\n • style de jointure : rond\n • style de trait : ligne continue\n\n***Ligne simple***\n • couleur : RVB 57,57,57 (#393939)\n • largeur de trait : 2.5 pt\n • style de jointure : angle droit\n • style de trait : ligne continue;ZONE_AUc_001_pe;***Remplissage simple***\n • couleur de remplissage : RVB 255,101,101 (#ff6565), transparence 40%\n • couleur de trait : RVB 57,57,57 (#393939)\n • largeur de trait : 0.8 pt\n • style de trait : ligne continue
AUs;Zone à  urbaniser bloquée;ZONE_AUs_001_ge;***Ligne simple***\n • couleur : RVB 232,135,102 (#e88766)\n • décalage : 3 pt\n • largeur de trait : 7 pt\n • style de jointure : rond\n • style de trait : ligne continue\n\n***Ligne simple***\n • couleur : RVB 57,57,57 (#393939)\n • largeur de trait : 2.5 pt\n • style de jointure : angle droit\n • style de trait : ligne continue;ZONE_AUs_001_pe;***Remplissage simple***\n • couleur de remplissage : RVB 254,204,190 (#feccbe), transparence 40%\n • couleur de trait : RVB 57,57,57 (#393939)\n • largeur de trait : 0.8 pt\n • style de trait : ligne continue
A;Zone Agricole;ZONE_A_001_ge;***Ligne simple***\n • couleur : RVB 255,240,0 (#fff000)\n • décalage : 3 pt\n • largeur de trait : 7 pt\n • style de jointure : rond\n • style de trait : ligne continue\n\n***Ligne simple***\n • couleur : RVB 57,57,57 (#393939)\n • largeur de trait : 2.5 pt\n • style de jointure : angle droit\n • style de trait : ligne continue;ZONE_A_001_pe;***Remplissage simple***\n • couleur de remplissage : RVB 255,255,0 (#ffff00), transparence 40%\n • couleur de trait : RVB 57,57,57 (#393939)\n • largeur de trait : 0.8 pt\n • style de trait : ligne continue
N;Zone naturelle et forestière;ZONE_N_001_ge;***Ligne simple***\n • couleur : RVB 35,166,0 (#23a600)\n • décalage : 3 pt\n • largeur de trait : 7 pt\n • style de jointure : rond\n • style de trait : ligne continue\n\n***Ligne simple***\n • couleur : RVB 57,57,57 (#393939)\n • largeur de trait : 2.5 pt\n • style de jointure : angle droit\n • style de trait : ligne continue;ZONE_N_001_pe;***Remplissage simple***\n • couleur de remplissage : RVB 86,170,2 (#56aa02), transparence 40%\n • couleur de trait : RVB 57,57,57 (#393939)\n • largeur de trait : 0.8 pt\n • style de trait : ligne continue
